Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
585,vim-tmux,334,21,334,9,2014-11-14T00:58:05Z,2021-10-04T07:49:34Z,74,vim plugin for tmux.conf,Vim script,https://github.com/tmux-plugins/vim-tmux
586,vim-slash,334,34,334,11,2016-10-19T05:21:45Z,2023-09-06T03:34:13Z,19,Enhancing in-buffer search experience,Vim script,https://github.com/junegunn/vim-slash
587,taskpaper.vim,332,69,332,22,2010-08-22T21:58:16Z,2015-10-03T19:56:06Z,296,This package contains a syntax file and a file-type plugin for the simple format used by the TaskPaper application. ,VimL,https://github.com/davidoc/taskpaper.vim
588,golden-ratio,331,36,331,4,2011-08-11T17:53:54Z,2022-06-28T22:54:39Z,34,Automatic resizing of Vim windows to the golden ratio ,Vim script,https://github.com/roman/golden-ratio
589,ReplaceWithRegister,330,23,330,1,2010-10-19T02:17:25Z,2015-06-22T13:35:40Z,193,Replace text with the contents of a register. ,VimL,https://github.com/vim-scripts/ReplaceWithRegister
590,vim-textobj-rubyblock,330,21,330,18,2010-11-20T22:52:14Z,2018-08-11T17:45:39Z,43,A custom text object for selecting ruby blocks.,VimL,https://github.com/nelstrom/vim-textobj-rubyblock
591,bigvim,330,76,330,4,2013-11-12T15:55:09Z,2024-12-22T16:01:13Z,7413,Vim configuration,Vim Script,https://github.com/ruanyl/bigvim
592,claude.vim,330,14,330,16,2024-06-27T23:21:18Z,2025-02-25T18:13:06Z,78,Claude vim plugin for AI pair programming - a hacker's gateway to LLMs,Vim Script,https://github.com/pasky/claude.vim
593,nofrils,329,45,329,4,2015-11-02T09:35:31Z,2021-03-22T15:20:59Z,124,"An extremely minimalist colorscheme, even opting out of the second L in frills",Vim script,https://github.com/robertmeta/nofrils
594,webvim,329,34,329,24,2014-02-14T22:20:16Z,2020-08-26T12:46:09Z,1412,WebVim is a vim based distribution targeting JavaScript and Web development,Vim script,https://github.com/vim-dist/webvim
595,personal_ansible_desktop_configs,327,102,327,1,2020-12-09T14:39:30Z,2022-09-18T07:17:09Z,7764,,Vim script,https://github.com/LearnLinuxTV/personal_ansible_desktop_configs
596,lavalamp,327,8,327,0,2014-03-02T22:22:55Z,2019-02-14T20:40:40Z,110,A text editor theme that visually differentiates languages.,VimL,https://github.com/jasonlong/lavalamp
597,vim-config,327,398,327,6,2012-03-29T13:46:52Z,2020-04-02T00:48:54Z,2778,my vim config to share amongst my machines,VimL,https://github.com/j1z0/vim-config
598,vim-gtfo,326,18,326,18,2013-08-13T07:58:30Z,2024-06-17T20:37:56Z,87,Go to Terminal or File manager :point_right:,Vim Script,https://github.com/justinmk/vim-gtfo
599,vim-easygrep,325,45,325,31,2013-09-22T04:13:28Z,2019-11-06T03:22:42Z,387,Fast and Easy Find and Replace Across Multiple Files,Vim script,https://github.com/dkprice/vim-easygrep
600,vim-cucumber,325,61,325,12,2008-11-24T03:48:56Z,2023-11-20T15:43:47Z,66,Vim Cucumber runtime files,Vim Script,https://github.com/tpope/vim-cucumber
601,vim-pasta,325,11,325,6,2011-11-06T20:17:44Z,2023-08-12T10:05:32Z,19,Pasting in Vim with indentation adjusted to destination context,Vim Script,https://github.com/ku1ik/vim-pasta
602,pwnbox,324,54,324,0,2016-03-13T23:23:52Z,2021-05-04T14:37:58Z,39,Docker container with tools for binary reverse engineering and exploitation.,Vim script,https://github.com/superkojiman/pwnbox
603,vim-wintabs,324,26,324,17,2014-08-15T17:12:38Z,2024-02-16T01:19:01Z,4610,Modern buffer manager for Vim,Vim script,https://github.com/zefei/vim-wintabs
604,vim-ps1,324,43,324,10,2012-03-05T03:53:16Z,2024-03-06T18:23:42Z,70,A Vim plugin for Windows PowerShell support,Vim Script,https://github.com/PProvost/vim-ps1
605,typst.vim,324,30,324,14,2023-03-24T11:58:01Z,2024-12-07T14:35:15Z,153,Vim plugin for Typst,Vim Script,https://github.com/kaarmu/typst.vim
606,vim-svelte,323,9,323,4,2019-05-27T23:01:08Z,2022-10-27T16:39:24Z,54,Vim syntax highlighting and indentation for Svelte 3 components.,Vim Script,https://github.com/evanleck/vim-svelte
607,vim-smooth-scroll,321,33,321,19,2013-04-05T07:27:21Z,2019-11-09T18:11:50Z,127,Make scrolling in Vim more pleasant,VimL,https://github.com/terryma/vim-smooth-scroll
608,vitality.vim,321,31,321,24,2012-04-12T23:48:36Z,2020-04-20T15:30:31Z,31,Make Vim play nicely with iTerm 2 and tmux.,Vim script,https://github.com/sjl/vitality.vim
609,vimrc,321,114,321,0,2011-08-26T18:17:34Z,2022-09-29T19:44:29Z,4946,Opinionated VIM Configuration,Vim Script,https://github.com/tlhunter/vimrc
