Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
928,elixir-dns,116,38,116,19,2016-01-30T04:20:10Z,2023-05-20T15:55:05Z,94,DNS library for Elixir,Elixir,https://github.com/tungd/elixir-dns
929,elixir_react_render,116,13,116,5,2018-05-03T15:05:03Z,2021-08-02T11:15:18Z,128,React SSR Framework for Elixir,Elixir,https://github.com/revelrylabs/elixir_react_render
930,bunt,116,18,116,1,2015-11-05T21:45:55Z,2023-12-06T11:00:54Z,292,256 color ANSI coloring in Elixir CLIs,Elixir,https://github.com/rrrene/bunt
931,finitomata,116,9,116,5,2022-03-29T12:08:30Z,2025-01-20T08:22:24Z,994,FSM implementation generated from Mermaid/PlantUML textual representation,Elixir,https://github.com/am-kantox/finitomata
932,fast_rss,116,20,116,4,2020-02-20T20:06:37Z,2024-07-06T15:39:40Z,3246,"Fast Elixir RSS feed parser, a NIF wrapper around the Rust RSS crate",Elixir,https://github.com/avencera/fast_rss
933,exzmq,116,23,116,2,2014-03-25T15:31:41Z,2017-10-15T17:06:06Z,90,ZeroMQ for Elixir,Elixir,https://github.com/zeromq/exzmq
934,vox,116,4,116,19,2023-08-10T23:51:56Z,2023-09-17T13:57:57Z,108,The static site builder for Elixir lovers,Elixir,https://github.com/geolessel/vox
935,evm,116,19,116,0,2017-08-02T05:58:05Z,2018-08-25T06:02:08Z,311,"Ethereum's Virtual Machine, in all its glory",Elixir,https://github.com/exthereum/evm
936,rdf-ex,116,8,116,0,2017-06-24T22:50:10Z,2025-03-21T20:31:20Z,2213,An implementation of RDF for Elixir,Elixir,https://github.com/rdf-elixir/rdf-ex
937,mneme,115,6,115,26,2023-01-19T15:40:17Z,2025-02-16T14:52:48Z,13099,Snapshot testing for Elixir,Elixir,https://github.com/zachallaun/mneme
938,permit,115,0,115,7,2022-06-26T19:15:03Z,2025-03-20T13:55:23Z,283,"An uniform authorization library for Elixir. Supports Plug and Phoenix LiveView, aims for much more.",Elixir,https://github.com/curiosum-dev/permit
939,bitfeed,115,28,115,15,2021-12-02T22:40:28Z,2024-06-09T07:32:06Z,38130,,Elixir,https://github.com/bitfeed-project/bitfeed
940,tarams,115,12,115,3,2020-07-07T10:30:17Z,2024-02-27T02:15:35Z,111,Cast and validate external data and request parameters for Elixir and Phoenix,Elixir,https://github.com/bluzky/tarams
941,nx_signal,115,7,115,1,2022-06-02T03:54:22Z,2025-03-05T18:49:10Z,1554,DSP with Elixir Nx,Elixir,https://github.com/elixir-nx/nx_signal
942,absinthe_error_payload,115,26,115,14,2019-04-29T23:43:21Z,2024-09-23T17:12:54Z,103,Bridges the gap between Ecto and Absinthe for mutation payload,Elixir,https://github.com/mirego/absinthe_error_payload
943,hulaaki,114,22,114,0,2015-03-15T20:32:22Z,2020-06-21T21:24:42Z,249,DEPRECATED : An Elixir library (driver) for clients communicating with MQTT brokers(via the MQTT 3.1.1 protocol).,Elixir,https://github.com/suvash/hulaaki
944,rethinkdb_ecto,114,18,114,4,2016-02-02T00:48:37Z,2018-08-09T13:35:34Z,112,RethinkDB adapter for Ecto.,Elixir,https://github.com/almightycouch/rethinkdb_ecto
945,eml,114,14,114,4,2014-01-04T12:22:40Z,2024-03-01T16:27:30Z,315,Library for writing and manipulating (html) markup in Elixir.,Elixir,https://github.com/zambal/eml
946,api,114,21,114,30,2019-01-16T18:50:49Z,2025-03-28T13:27:29Z,29042,V3 MBTA API,Elixir,https://github.com/mbta/api
947,neural_network_elixir,114,22,114,1,2016-02-20T01:52:18Z,2020-02-11T17:24:02Z,269,Neural network written in Elixir,Elixir,https://github.com/kblake/neural_network_elixir
948,apollo-tracing-elixir,114,8,114,3,2017-08-01T15:57:29Z,2020-08-30T15:33:45Z,35,Apollo Tracing middleware for Absinthe,Elixir,https://github.com/sikanhe/apollo-tracing-elixir
949,ex_state,113,4,113,0,2020-03-11T16:25:05Z,2020-05-27T16:12:51Z,131,Database-backed state machines and statecharts for Elixir,Elixir,https://github.com/8thlight/ex_state
950,alice,113,19,113,22,2016-02-05T03:06:44Z,2021-09-15T00:03:11Z,9078,A Slack bot framework for Elixir; down the rabbit hole!,Elixir,https://github.com/alice-bot/alice
951,deep_merge,113,5,113,1,2016-10-20T20:33:42Z,2023-12-10T10:24:11Z,88,"Deep (recursive) merge for maps, keywords and others in Elixir",Elixir,https://github.com/PragTob/deep_merge
952,recaptcha,113,58,113,12,2015-08-26T14:59:02Z,2023-02-02T03:51:25Z,65,A simple reCaptcha 2 library for Elixir applications.,Elixir,https://github.com/samueljseay/recaptcha
953,ja_resource,113,33,113,11,2016-01-04T15:52:27Z,2020-01-24T12:46:42Z,117,A behaviour to reduce boilerplate code in your JSON-API compliant Phoenix controllers without sacrificing flexibility.,Elixir,https://github.com/vt-elixir/ja_resource
954,phoenix-webrtc,113,11,113,2,2015-09-14T05:38:53Z,2015-10-28T01:07:20Z,172,Enable video chat in a Phoenix application,Elixir,https://github.com/chadbrading-zz/phoenix-webrtc
955,betterdev.link,113,13,113,9,2017-06-03T14:54:41Z,2025-03-04T20:27:53Z,2414,Links to improve programing skill,Elixir,https://github.com/yeo/betterdev.link
956,ecto_rut,113,3,113,1,2016-09-24T21:37:10Z,2018-08-16T10:55:56Z,79,Ecto Model shortcuts to make your life easier! :tada:,Elixir,https://github.com/sheharyarn/ecto_rut
957,codepagex,113,21,113,2,2015-08-05T19:16:23Z,2024-05-22T21:08:03Z,3288,Elixir string encoding conversion - like iconv but pure Elixir,Elixir,https://github.com/tallakt/codepagex
958,pxblog,112,9,112,1,2015-10-05T02:48:08Z,2017-06-02T17:23:57Z,2663,Phoenix Blog Engine from my tutorial,Elixir,https://github.com/Diamond/pxblog
959,bloomex,112,8,112,0,2014-10-19T23:43:40Z,2021-06-08T19:02:15Z,90,:hibiscus: A pure Elixir implementation of Scalable Bloom Filters,Elixir,https://github.com/gmcabrita/bloomex
960,flame_k8s_backend,112,7,112,1,2023-12-09T21:12:14Z,2025-03-06T15:20:31Z,170,A FLAME Backend for Kubernetes. ,Elixir,https://github.com/mruoss/flame_k8s_backend
961,ravenx,111,8,111,4,2016-11-11T15:26:30Z,2018-02-17T17:57:39Z,114,Notification dispatch library for Elixir applications,Elixir,https://github.com/acutario/ravenx
962,elixir-hl7,111,23,111,16,2018-05-22T14:32:17Z,2025-02-14T20:00:13Z,782,An Elixir library for working with HL7 v2.x healthcare data ,Elixir,https://github.com/HCA-Healthcare/elixir-hl7
963,junit-formatter,111,34,111,2,2015-02-16T14:41:01Z,2024-04-02T12:30:58Z,169,A JUnit XML report exporter for Elixir's ExUnit,Elixir,https://github.com/victorolinasc/junit-formatter
964,gen_lsp,111,10,111,5,2022-07-08T19:43:27Z,2025-01-04T15:38:52Z,634,A behaviour for creating language servers. ,Elixir,https://github.com/elixir-tools/gen_lsp
965,ecto_morph,110,8,110,2,2019-04-11T15:26:55Z,2023-06-09T08:59:09Z,146, morph your Ecto capabilities into the s t r a t o s p h e r e !,Elixir,https://github.com/Adzz/ecto_morph
