Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
140,nbb,879,52,879,10,2021-07-27T13:39:37Z,2024-11-25T13:59:34Z,1922,Scripting in Clojure on Node.js using SCI,Clojure,https://github.com/babashka/nbb
141,medley,878,67,878,10,2013-08-26T13:35:30Z,2024-10-19T06:15:48Z,325,A lightweight library of useful Clojure functions,Clojure,https://github.com/weavejester/medley
142,tesser,872,38,872,3,2014-11-11T02:22:00Z,2025-03-03T23:34:35Z,619,"Clojure reducers, but for parallel execution: locally and on distributed systems.",Clojure,https://github.com/aphyr/tesser
143,wonderland-clojure-katas,870,509,870,0,2014-12-13T15:14:22Z,2023-10-28T20:31:26Z,378,Clojure Katas inspired by Alice in Wonderland,Clojure,https://github.com/gigasquid/wonderland-clojure-katas
144,lt-cljs-tutorial,863,121,863,10,2014-01-15T12:11:29Z,2015-10-08T07:16:26Z,656,A ClojureScript Programming Language Tutorial for Light Table Users,Clojure,https://github.com/swannodette/lt-cljs-tutorial
145,reagent-cookbook,843,87,843,2,2014-10-29T21:35:33Z,2022-03-25T23:12:00Z,1047,Examples of how to accomplish specific tasks in a Reagent webapp.,Clojure,https://github.com/reagent-project/reagent-cookbook
146,clojupyter,839,94,839,12,2014-05-09T07:09:06Z,2025-03-18T08:36:00Z,39258,a Jupyter kernel for Clojure,Clojure,https://github.com/clojupyter/clojupyter
147,oz,832,74,832,65,2018-02-12T08:10:28Z,2024-04-02T20:25:59Z,27789,Data visualizations in Clojure and ClojureScript using Vega and Vega-lite,Clojure,https://github.com/metasoarous/oz
148,marginalia,831,80,831,46,2010-10-26T19:02:48Z,2024-07-05T10:39:03Z,11046,Ultra-lightweight literate programming for clojure inspired by docco,Clojure,https://github.com/clj-commons/marginalia
149,buddy,830,38,830,4,2014-01-15T20:38:23Z,2021-05-28T14:53:05Z,552,Security library for Clojure,Clojure,https://github.com/funcool/buddy
150,kaocha,813,84,813,57,2018-04-17T11:44:11Z,2025-02-26T15:57:22Z,1632,Full featured next gen Clojure test runner,Clojure,https://github.com/lambdaisland/kaocha
151,javelin,811,44,811,7,2013-02-14T18:19:50Z,2023-10-31T12:50:48Z,470,Spreadsheet-like dataflow programming in ClojureScript.,Clojure,https://github.com/hoplon/javelin
