Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
68,quickstart-android,9272,7416,9272,56,26/04/2016,30/03/2026,33.57 MB,Firebase Quickstart Samples for Android,Kotlin,https://github.com/firebase/quickstart-android,33.57 MB
69,Exposed,9201,776,9201,167,30/07/2013,08/04/2026,59.37 MB,Kotlin SQL Framework,Kotlin,https://github.com/JetBrains/Exposed,59.37 MB
70,okio,8992,1219,8992,111,17/03/2014,08/04/2026,9.87 MB,"A modern I/O library for Android, Java, and Kotlin Multiplatform.",Kotlin,https://github.com/square/okio,9.87 MB
71,android,8677,950,8677,142,30/04/2016,09/04/2026,235.17 MB,Bitwarden mobile apps (Password Manager and Authenticator) for Android.,Kotlin,https://github.com/bitwarden/android,235.17 MB
72,SimpMusic,8658,389,8658,387,15/04/2023,05/04/2026,210.46 MB,A cross-platform music app using YouTube Music for backend,Kotlin,https://github.com/maxrave-dev/SimpMusic,210.46 MB
73,Kotatsu,8470,714,8470,579,30/01/2020,04/11/2025,89.61 MB,Manga reader for Android,Kotlin,https://github.com/KotatsuApp/Kotatsu,89.61 MB
74,Metrolist,8322,535,8322,553,11/08/2023,09/04/2026,79.87 MB,YouTube Music client for Android,Kotlin,https://github.com/MetrolistGroup/Metrolist,79.87 MB
75,Pokedex,8307,1100,8307,23,01/06/2020,30/03/2026,17.00 MB,"🗡️ Pokedex demonstrates modern Android development with Hilt, Material Motion, Coroutines, Flow, Jetpack (Room, ViewModel) based on MVVM architecture.",Kotlin,https://github.com/skydoves/Pokedex,17.00 MB
76,ytdlnis,8269,350,8269,51,27/05/2022,09/04/2026,129.39 MB,Full-featured audio/video downloader for Android using yt-dlp,Kotlin,https://github.com/deniscerri/ytdlnis,129.39 MB
77,javalin,8244,639,8244,14,02/04/2017,06/04/2026,5.62 MB,A simple and modern Java and Kotlin web framework,Kotlin,https://github.com/javalin/javalin,5.62 MB
78,VancedManager,8201,1104,8201,61,14/03/2020,14/03/2022,15.96 MB,Vanced Installer,Kotlin,https://github.com/TeamVanced/VancedManager,15.96 MB
79,florisboard,8187,628,8187,456,08/04/2020,19/02/2026,122.38 MB,An open-source keyboard for Android which respects your privacy. Currently in beta.,Kotlin,https://github.com/florisboard/florisboard,122.38 MB
80,MaterialFiles,8161,607,8161,587,27/05/2018,06/04/2026,16.29 MB,Material Design file manager for Android,Kotlin,https://github.com/zhanghai/MaterialFiles,16.29 MB
81,nexa-sdk,7923,978,7923,37,16/08/2024,09/04/2026,72.19 MB,"Run frontier LLMs and VLMs with day-0 model support across GPU, NPU, and CPU, with comprehensive runtime coverage for PC (Python/C++), mobile (Android & iOS), and Linux/IoT (Arm64 & x86 Docker). Supporting OpenAI GPT-OSS, IBM Granite-4, Qwen-3-VL, Gemma-3n, Ministral-3, and more.",Kotlin,https://github.com/NexaAI/nexa-sdk,72.19 MB
82,RIBs,7916,912,7916,116,03/10/2017,17/09/2025,11.14 MB,Uber's cross-platform mobile architecture framework - Android Repository,Kotlin,https://github.com/uber/RIBs,11.14 MB
83,accompanist,7814,670,7814,7,05/05/2020,18/08/2025,55.13 MB,A collection of extension libraries for Jetpack Compose,Kotlin,https://github.com/google/accompanist,55.13 MB
84,litho,7777,765,7777,116,27/01/2017,06/04/2026,795.22 MB,A declarative framework for building efficient UIs on Android.,Kotlin,https://github.com/facebook/litho,795.22 MB
85,android-developer-roadmap,7712,723,7712,14,01/12/2021,24/02/2026,24.61 MB, 🗺 The Android Developer Roadmap offers comprehensive learning paths to help you understand Android ecosystems.,Kotlin,https://github.com/skydoves/android-developer-roadmap,24.61 MB
86,react-native-video,7667,3026,7667,222,31/03/2015,09/04/2026,87.55 MB,A <Video /> component for react-native,Kotlin,https://github.com/TheWidlarzGroup/react-native-video,87.55 MB
87,cheesesquare,7663,1794,7663,18,28/05/2015,07/12/2020,1.31 MB,Demos the new Android Design library.,Kotlin,https://github.com/chrisbanes/cheesesquare,1.31 MB
88,APatch,7329,691,7329,84,21/08/2023,06/04/2026,22.80 MB,The patching of Android kernel and Android system,Kotlin,https://github.com/bmax121/APatch,22.80 MB
89,Android-Expert,7279,158,7279,2,01/12/2022,27/07/2023,201.00 KB,Aprende a PROGRAMAR aplicaciones ANDROID en KOTLIN sin conocimientos previos ,Kotlin,https://github.com/ArisGuimera/Android-Expert,201.00 KB
90,Compressor,7222,967,7222,140,18/06/2016,05/03/2026,908.00 KB,An android image compression library.,Kotlin,https://github.com/zetbaitsu/Compressor,908.00 KB
