Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
87,zh.javascript.info,10678,1213,10678,27,04/04/2018,14/08/2025,489.14 MB,现代 JavaScript 教程（The Modern JavaScript Tutorial），以最新的 ECMAScript 规范为基准，通过简单但足够详细的内容，为你讲解从基础到高阶的 JavaScript 相关知识。,HTML,https://github.com/javascript-tutorial/zh.javascript.info,489.14 MB
88,pdf2htmlEX,10579,1856,10579,245,04/08/2012,02/06/2023,133.88 MB,Convert PDF to HTML without losing text or format.,HTML,https://github.com/coolwanglu/pdf2htmlEX,133.88 MB
89,craftinginterpreters,10535,1243,10535,139,15/01/2017,07/08/2024,22.86 MB,"Repository for the book ""Crafting Interpreters""",HTML,https://github.com/munificent/craftinginterpreters,22.86 MB
90,node-interview,10531,1554,10531,8,23/01/2017,19/10/2020,804.00 KB,How to pass the Node.js interview of ElemeFE.,HTML,https://github.com/ElemeFE/node-interview,804.00 KB
91,bug,10466,2016,10466,6,10/05/2022,19/12/2023,97.35 MB,TVbox开源版（空壳-自行配置）,HTML,https://github.com/liu673cn/bug,97.35 MB
92,sovereign,10464,819,10464,102,19/08/2013,11/12/2022,1.03 MB,"A set of Ansible playbooks to build and maintain your own private cloud: email, calendar, contacts, file sync, IRC bouncer, VPN, and more.",HTML,https://github.com/sovereign/sovereign,1.03 MB
93,fluentui-system-icons,10390,767,10390,192,12/05/2020,19/02/2026,751.79 MB,"Fluent System Icons are a collection of familiar, friendly and modern icons from Microsoft.",HTML,https://github.com/microsoft/fluentui-system-icons,751.79 MB
94,chatgpt_system_prompt,10358,1439,10358,0,01/11/2023,20/01/2026,29.03 MB,A collection of GPT system prompts and various prompt injection/leaking knowledge.,HTML,https://github.com/LouisShark/chatgpt_system_prompt,29.03 MB
95,PakePlus,10280,4288,10280,13,10/09/2024,14/02/2026,182.62 MB,Turn any webpage/HTML/Vue/React and so on into desktop and mobile app under 5M with easy in few minutes. 轻松将任意网站/HTML/Vue/React等项目构建为轻量级(小于5M)多端桌面应用和手机应用仅需几分钟. https://ppofficial.netlify.app,HTML,https://github.com/Sjj1024/PakePlus,182.62 MB
96,electron-api-demos,10247,2092,10247,49,16/10/2015,10/11/2022,5.54 MB,Explore the Electron APIs,HTML,https://github.com/electron/electron-api-demos,5.54 MB
97,milligram,10242,733,10242,125,10/12/2015,31/10/2023,8.21 MB,A minimalist CSS framework.,HTML,https://github.com/milligram/milligram,8.21 MB
98,raytracing.github.io,10174,980,10174,72,18/07/2019,01/01/2026,39.37 MB,Main Web Site (Online Books),HTML,https://github.com/RayTracing/raytracing.github.io,39.37 MB
99,kit,10021,2948,10021,2,26/04/2016,19/02/2026,71.39 MB,"⚡ The Open Research Copilot. Build high-perf Portfolios, Lab Sites & Docs in Markdown + Jupyter. 100% Data Control. 🦫 数据科学家的开源 Copilot。一键部署 👇",HTML,https://github.com/HugoBlox/kit,71.39 MB
100,machine-learning-systems-design,9986,1553,9986,10,24/11/2019,15/04/2023,1.38 MB,"A booklet on machine learning systems design with exercises. NOT the repo for the book ""Designing Machine Learning Systems"", which is `dmls-book`",HTML,https://github.com/chiphuyen/machine-learning-systems-design,1.38 MB
101,awesome-angular,9972,1394,9972,0,01/09/2015,19/02/2026,4.18 MB,:page_facing_up: A curated list of awesome Angular resources,HTML,https://github.com/PatrickJS/awesome-angular,4.18 MB
102,startbootstrap-sb-admin-2,9886,5744,9886,119,25/10/2014,02/07/2024,28.71 MB,"A free, open source, Bootstrap admin theme created by Start Bootstrap",HTML,https://github.com/StartBootstrap/startbootstrap-sb-admin-2,28.71 MB
103,jekyll-theme-chirpy,9777,7206,9777,33,12/01/2019,26/01/2026,5.42 MB,"A minimal, responsive, and feature-rich Jekyll theme for technical writing.",HTML,https://github.com/cotes2020/jekyll-theme-chirpy,5.42 MB
104,data-science-interviews,9774,2116,9774,8,02/03/2020,19/02/2026,1.08 MB,Data science interview questions and answers,HTML,https://github.com/alexeygrigorev/data-science-interviews,1.08 MB
105,galaxy,9745,639,9745,13,01/10/2023,02/09/2024,5.25 MB,The largest Open-Source UI Library! Community-made and free to use. Made with either CSS or Tailwind.,HTML,https://github.com/uiverse-io/galaxy,5.25 MB
106,ImageOptim,9731,455,9731,195,03/02/2013,29/10/2023,6.47 MB,GUI image optimizer for Mac,HTML,https://github.com/ImageOptim/ImageOptim,6.47 MB
107,agenda,9630,833,9630,3,29/10/2013,16/02/2026,5.20 MB,Lightweight job scheduling for Node.js,HTML,https://github.com/agenda/agenda,5.20 MB
108,pdfs,9416,1783,9416,8,16/06/2014,25/12/2025,3.40 GB,"Technically-oriented PDF Collection (Papers, Specs, Decks, Manuals, etc)",HTML,https://github.com/tpn/pdfs,3.40 GB
109,javascript-patterns,9381,1664,9381,20,10/12/2011,18/07/2024,1.28 MB,JavaScript Design Patterns,HTML,https://github.com/chuanxshi/javascript-patterns,1.28 MB
110,public-pentesting-reports,9369,2131,9369,15,05/08/2016,24/11/2025,715.44 MB,A list of public penetration test reports published by several consulting firms and academic security groups.,HTML,https://github.com/juliocesarfort/public-pentesting-reports,715.44 MB
111,flexboxgrid,9355,1117,9355,62,21/12/2013,01/10/2020,450.00 KB,Grid based on CSS3 flexbox,HTML,https://github.com/kristoferjoseph/flexboxgrid,450.00 KB
112,colour-schemes,9323,1586,9323,56,07/06/2012,08/01/2024,11.59 MB,Colour schemes for a variety of editors created by Dayle Rees.,HTML,https://github.com/daylerees/colour-schemes,11.59 MB
113,mitmproxy2swagger,9240,344,9240,31,11/05/2022,19/01/2026,8.62 MB,Automagically reverse-engineer REST APIs via capturing traffic,HTML,https://github.com/alufers/mitmproxy2swagger,8.62 MB
114,cachecloud,9198,2037,9198,55,26/01/2016,14/01/2025,68.11 MB,"搜狐视频(sohu tv)Redis私有云平台 ：支持Redis多种架构(Standalone、Sentinel、Cluster)高效管理、有效降低大规模redis运维成本，提升资源管控能力和利用率。平台提供快速搭建/迁移，运维管理，弹性伸缩，统计监控，客户端整合接入等功能。(CacheCloud is a Redis cloud management platform. It supports Standalone, Sentinel, and Cluster architectures for Redis, effectively reducing large-scale Redis operation and maintenance costs, and improving resource management and utilization. The platform provides rapid construction/migration, operation and maintenance management, elastic scaling, statistical monitoring, client integration and access and other functions)",HTML,https://github.com/sohutv/cachecloud,68.11 MB
115,html,9159,3115,9159,2467,08/08/2013,20/02/2026,989.81 MB,HTML Standard,HTML,https://github.com/whatwg/html,989.81 MB
116,DevOps-Guide,9132,2045,9132,9,16/10/2019,03/01/2026,179.69 MB, DevOps Guide - Development to Production all configurations with basic notes to debug efficiently.,HTML,https://github.com/Tikam02/DevOps-Guide,179.69 MB
117,flowbite,9117,843,9117,254,28/07/2021,06/02/2026,21.77 MB,Open-source UI component library and front-end development framework based on Tailwind CSS,HTML,https://github.com/themesberg/flowbite,21.77 MB
118,lancedb,9008,752,9008,565,28/02/2023,19/02/2026,23.28 MB,Developer-friendly OSS embedded retrieval library for multimodal AI. Search More; Manage Less.,HTML,https://github.com/lancedb/lancedb,23.28 MB
119,computer-science-flash-cards,8941,2089,8941,9,29/06/2016,13/01/2025,464.00 KB,Mini website for testing both general CS knowledge and enforce coding practice and common algorithm/data structure memorization.,HTML,https://github.com/jwasham/computer-science-flash-cards,464.00 KB
120,easyeffects,8859,335,8859,201,20/03/2017,20/02/2026,157.19 MB,"Limiter, compressor, convolver, equalizer and auto volume and many other plugins for PipeWire applications",HTML,https://github.com/wwmm/easyeffects,157.19 MB
121,home-assistant.io,8835,8180,8835,425,21/12/2014,20/02/2026,1.09 GB,:blue_book: Home Assistant User documentation,HTML,https://github.com/home-assistant/home-assistant.io,1.09 GB
122,hyperblog,8834,12794,8834,10932,16/04/2019,20/08/2024,849.00 KB,Un blog increíble para el curso de Git y Github de Platzi,HTML,https://github.com/freddier/hyperblog,849.00 KB
123,js-the-right-way,8716,922,8716,31,07/08/2012,25/01/2024,3.82 MB,"An easy-to-read, quick reference for JS best practices, accepted coding standards, and links around the Web",HTML,https://github.com/jstherightway/js-the-right-way,3.82 MB
124,go-proxy-bingai,8598,12312,8598,217,03/05/2023,20/03/2024,4.71 MB,用 Vue3 和 Go 搭建的微软 New Bing 演示站点，拥有一致的 UI 体验，支持 ChatGPT 提示词，国内可用。,HTML,https://github.com/adams549659584/go-proxy-bingai,4.71 MB
125,rengine,8472,1302,8472,156,03/05/2020,16/11/2025,254.91 MB,"reNgine is an automated reconnaissance framework for web applications with a focus on highly configurable streamlined recon process via Engines, recon data correlation and organization, continuous monitoring, backed by a database, and simple yet intuitive User Interface. reNgine makes it easy for penetration testers to gather reconnaissance with minimal configuration and with the help of reNgine's correlation, it just makes recon effortless.",HTML,https://github.com/yogeshojha/rengine,254.91 MB
126,pup,8396,265,8396,108,01/09/2014,02/05/2024,3.77 MB,Parsing HTML at the command line,HTML,https://github.com/ericchiang/pup,3.77 MB
127,GoJS,8392,2861,8392,1,02/04/2014,19/02/2026,144.02 MB,"JavaScript diagramming library for interactive flowcharts, org charts, design tools, planning tools, visual languages.",HTML,https://github.com/NorthwoodsSoftware/GoJS,144.02 MB
128,awesome-3D-gaussian-splatting,8327,499,8327,3,15/10/2023,07/01/2026,32.08 MB,"Curated list of papers and resources focused on 3D Gaussian Splatting, intended to keep pace with the anticipated surge of research in the coming months.",HTML,https://github.com/MrNeRF/awesome-3D-gaussian-splatting,32.08 MB
129,boost,8317,1920,8317,213,13/01/2013,19/02/2026,66.57 MB,Super-project for modularized Boost,HTML,https://github.com/boostorg/boost,66.57 MB
130,BELLE,8281,768,8281,106,17/03/2023,16/10/2024,18.47 MB,BELLE: Be Everyone's Large Language model Engine（开源中文对话大模型）,HTML,https://github.com/LianjiaTech/BELLE,18.47 MB
131,zenbot,8276,2014,8276,295,27/06/2016,14/02/2022,30.52 MB,Zenbot is a command-line cryptocurrency trading bot using Node.js and MongoDB.,HTML,https://github.com/DeviaVir/zenbot,30.52 MB
132,system_architect,8226,2040,8226,1,15/12/2018,27/01/2026,66.01 MB,:100: 2026年系统架构设计师（软考高级）备考资料。,HTML,https://github.com/xxlllq/system_architect,66.01 MB
